,PDB,Bound_Unbound,Max_Seq_ID_TrainvBenchmark,Max_Seq_ID_Benchmark_v_Benchmark
0,8oud_0.pdb,bound,0.8416666666666667,0.7627118644067796
1,8b8i_0.pdb,bound,0.7692307692307693,0.7272727272727273
2,8pyr_0.pdb,bound,0.7739130434782608,0.7024793388429752
3,8ozb_0.pdb,bound,0.7241379310344828,0.6833333333333333
4,8g74_0.pdb,bound,0.7913043478260869,0.7033898305084746
5,8c3l_0.pdb,bound,0.7543859649122807,0.6694214876033058
6,8c3l_1.pdb,bound,0.7543859649122807,0.6694214876033058
7,8hxq_0.pdb,bound,0.773109243697479,0.7016129032258065
8,8hxr_0.pdb,bound,0.8220338983050848,0.7542372881355932
9,8sos_0.pdb,bound,0.952755905511811,0.7322834645669292
10,8h7i_0.pdb,bound,0.7521367521367521,0.6864406779661016
11,8h7m_1.pdb,bound,0.7521367521367521,0.6864406779661016
12,8h7n_0.pdb,bound,0.7521367521367521,0.6864406779661016
13,8h7r_0.pdb,bound,0.7521367521367521,0.6864406779661016
14,8eln_1.pdb,bound,0.7711864406779662,0.7033898305084746
15,8h5u_0.pdb,bound,0.7807017543859649,0.711864406779661
16,8ce4_0.pdb,bound,0.744,0.6721311475409836
17,7z1x_1.pdb,bound,0.7398373983739838,0.6885245901639344
18,8b17_0.pdb,bound,0.7704918032786885,0.7131147540983607
19,8ftg_5.pdb,bound,1.0,0.7107438016528925
20,7xli_0.pdb,bound,0.712,0.6
21,8f8w_0.pdb,bound,0.8,1.0
22,8en2_0.pdb,bound,0.7857142857142857,0.7063492063492064
23,8en3_0.pdb,bound,0.7338709677419355,0.6935483870967742
24,8h3y_1.pdb,bound,0.7704918032786885,0.7355371900826446
25,8gni_0.pdb,bound,0.7982456140350878,0.7457627118644068
26,7usv_1.pdb,bound,0.84,0.7580645161290323
27,7wd1_0.pdb,bound,0.9,0.7
28,7sqp_1.pdb,bound,0.8,0.743801652892562
29,7b5g_0.pdb,bound,0.7540983606557377,0.680327868852459
30,7zk1_0.pdb,bound,0.7952755905511811,0.7322834645669292
31,8dly_0.pdb,bound,0.7741935483870968,0.6386554621848739
32,7z7x_0.pdb,bound,0.9606299212598424,0.7401574803149606
33,8cyd_0.pdb,bound,0.7768595041322314,0.7107438016528925
34,8cyj_0.pdb,bound,0.7401574803149606,0.6771653543307087
35,8cy9_0.pdb,bound,0.8016528925619835,0.7851239669421488
36,8cyc_0.pdb,bound,0.8031496062992126,0.7244094488188977
37,8cyc_2.pdb,bound,0.8031496062992126,0.7244094488188977
38,8cy6_0.pdb,bound,0.7583333333333333,0.6916666666666667
39,8cy7_0.pdb,bound,0.7479674796747967,0.7024793388429752
40,8cxn_1.pdb,bound,0.8571428571428571,0.7222222222222222
41,8cxn_2.pdb,bound,0.8571428571428571,0.7222222222222222
42,8cxq_0.pdb,bound,0.7622950819672131,0.7459016393442623
43,7tpr_0.pdb,bound,0.7540983606557377,0.6935483870967742
44,7tpr_1.pdb,bound,0.6953125,0.6796875
45,7zml_0.pdb,bound,0.824,0.736
46,7z1c_0.pdb,bound,0.792,0.704
47,7te8_2.pdb,bound,0.776,0.7563025210084033
48,7zmm_0.pdb,bound,0.808,0.72
49,7x7e_0.pdb,bound,0.7421875,0.6640625
50,7z1a_0.pdb,bound,0.968503937007874,0.7401574803149606
