,Model_Source,AF3_Dir,AF3_PDB,Bound_Unbound,Native_Dir,Native_PDB,H3_local_RMSD,ocd,frh_rms,h1_rms,h2_rms,h3_rms,frl_rms,l1_rms,l2_rms,l3_rms,Protein_type,PDB_short,Seed,Model,DockQ_Classification,h3_len,h3_length,AF2_Dir,AF2_PDB
0,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_2.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wog_0.pdb,2.6036832332611084,6.097551603992757,0.79232366367353,1.850434999173937,0.7457871989155355,3.9482269226663553,1.091976773440774,2.209185189330923,3.3994614142395383,0.8452817792979093,antibody,7wog_0.pdb,2.0,2.0,Incorrect,15,medium,,
1,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_1.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wog_0.pdb,1.1019315719604492,7.382339407676421,0.7933920406621723,1.869264093206256,0.8070462280262951,2.1608319492274086,1.1058253179920052,2.281918823437568,3.4177260375650853,0.6430274129012045,antibody,7wog_0.pdb,2.0,1.0,Incorrect,15,medium,,
2,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_4.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wog_0.pdb,3.0895118713378906,4.742667288966973,0.8049027871778413,1.8904137788365796,0.8536528472405255,4.526895504467634,1.098482146038578,2.231206027475712,3.428566537913792,0.6767811632038923,antibody,7wog_0.pdb,2.0,4.0,Incorrect,15,medium,,
3,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_3.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wog_0.pdb,1.404354453086853,6.869014075730373,0.7837817137126809,1.8753643799454267,0.8225662470697184,2.272635392945685,1.0802335694492424,2.288717559455878,3.3832996205539696,0.6603656889982049,antibody,7wog_0.pdb,2.0,3.0,Incorrect,15,medium,,
4,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_0.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wog_0.pdb,2.0056843757629395,6.661400082583664,0.7974775359961154,1.882434847152002,0.8447472491153457,2.374369739368175,1.1012869570332986,2.323742388633349,3.444567097908345,0.5180663152935494,antibody,7wog_0.pdb,2.0,0.0,Incorrect,15,medium,,
5,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_4.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wg3_1.pdb,0.6412512063980103,2.942326814343981,0.6852670746953221,0.5049220110823525,0.6117618907840074,1.454892649062702,0.2245603305582033,0.5348911454060841,0.3206734356373462,0.4079935629710468,antibody,7wg3_1.pdb,3.0,4.0,Incorrect,10,medium,,
6,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_3.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wg3_1.pdb,0.6453445553779602,3.040812446127374,0.409918803706076,0.4071673172468764,0.5926294364627147,1.417521227167763,0.2472211100951672,0.3871374200707433,0.2847755329039452,0.3014802211347515,antibody,7wg3_1.pdb,3.0,3.0,Incorrect,10,medium,,
7,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_0.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wg3_1.pdb,0.8018680810928345,3.6341301842119385,0.7723327430246794,0.6000995573223235,0.8393323237061315,1.695824561152712,0.2285554881017167,0.3547007769166788,0.3119917580436775,0.2985967563833103,antibody,7wg3_1.pdb,3.0,0.0,Incorrect,10,medium,,
8,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_1.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wg3_1.pdb,0.6594606637954712,3.384101505522856,0.5073022363640576,0.4959143077807391,0.5498897548227782,1.4552829212561258,0.2232942417503438,0.3376382103842263,0.327374877085308,0.3183522881543817,antibody,7wg3_1.pdb,3.0,1.0,Incorrect,10,medium,,
9,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_2.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_7wg3_1.pdb,0.7866147756576538,3.768460689465687,0.436475424543553,0.4840689773422933,0.6400033467249344,1.6663183157250137,0.2208951420691653,0.3822557263849418,0.2925362733311776,0.3100537698332847,antibody,7wg3_1.pdb,3.0,2.0,Incorrect,10,medium,,
10,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_4.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8ath_1.pdb,2.813931465148926,4.344720004408536,0.3393366929477293,0.9251916150502087,0.7238764159955067,4.433446600974322,0.3425570637793658,0.281629025745079,0.1794400645596471,0.4539123413060641,antibody,8ath_1.pdb,3.0,4.0,Incorrect,11,medium,,
